ID,Cum GPA,TEAS Count,MaxOfTestScore,PrecEducDesc,failing grade count,DateStart,GradDate,Test Delivery Date,Time to Test (days),Completion Time (days),Grade,Qtr,Year
1,2.84,1,76,High School/GED/Some College,0,9/6/2016,4/20/2018,11/15/2018,209.00,591.00,Pass,2018-4,2018
2,3.14,1,74.7,High School/GED/Some College,0,9/10/2018,12/21/2019,3/3/2020,73.00,467.00,Pass,2020-1,2020
3,2.58,,,High School/GED/Some College,0,,5/1/2009,3/29/2019,3619.34,39934.00,Pass,2019-1,2019
4,3.45,,,High School/GED/Some College,0,,4/21/2017,5/27/2017,36.34,42846.00,Pass,2017-2,2017
5,3.22,1,75.3,High School/GED/Some College,0,5/18/2015,12/16/2016,3/10/2017,84.51,578.00,Pass,2017-1,2017
6,3.29,2,77.3,High School/GED/Some College,0,9/5/2017,4/19/2019,6/18/2019,60.00,591.00,Fail,2019-2,2019
7,3.38,2,72.7,Associates,0,1/7/2019,8/29/2020,11/17/2020,80.33,600.00,Pass,2020-4,2020
8,3.2,1,74,High School/GED/Some College,0,5/15/2017,8/24/2018,10/29/2018,66.49,466.00,Pass,2018-4,2018
9,2.95,2,68.7,High School/GED/Some College,0,1/9/2017,4/20/2018,6/11/2018,52.34,466.00,Pass,2018-2,2018
10,2.84,2,72.7,High School/GED/Some College,0,5/15/2017,4/19/2019,5/29/2019,40.52,704.00,Pass,2019-2,2019
11,2.78,2,74,High School/GED/Some College,0,9/6/2016,12/15/2017,12/19/2018,369.00,465.00,Fail,2018-4,2018
12,2.79,3,74,High School/GED/Some College,0,9/6/2016,4/20/2018,8/14/2018,116.00,591.00,Fail,2018-3,2018
13,2.81,1,68.7,High School/GED/Some College,0,9/10/2018,4/25/2020,7/17/2020,83.00,593.00,Pass,2020-3,2020
14,2.71,5,66,High School/GED/Some College,0,1/9/2017,12/21/2018,3/11/2019,80.33,711.00,Pass,2019-1,2019
15,2.6,2,68.7,High School/GED/Some College,0,1/9/2017,8/24/2018,11/19/2018,87.00,592.00,Pass,2018-4,2018
16,2.67,1,51.8,High School/GED/Some College,0,1/11/2016,8/25/2017,5/9/2018,257.59,592.00,Pass,2018-2,2018
17,3.27,2,68.7,Associates,1,5/18/2015,12/16/2016,4/19/2017,124.58,578.00,Fail,2017-2,2017
18,2.76,2,73.3,High School/GED/Some College,0,5/14/2018,8/17/2019,1/22/2020,158.00,460.00,Fail,2020-1,2020
19,2.63,1,75.3,High School/GED/Some College,1,9/6/2016,4/20/2018,8/4/2018,106.33,591.00,Fail,2018-3,2018
20,2.9,,,High School/GED/Some College,0,5/15/2017,12/21/2018,3/5/2019,74.35,585.00,Pass,2019-1,2019
