Cum GPA,TEAS Count,MaxOfTestScore,failing grade count,Time to Test (days),Completion Time (days),PrecEducDesc,Grade,GradePass,HighSchool,Assoc,Bach,Masters
2.84,1.0,76.0,0,209.0,591.0,High School/GED/Some College,Pass,1.0,1.0,0.0,0.0,0.0
3.14,1.0,74.7,0,73.0,467.0,High School/GED/Some College,Pass,1.0,1.0,0.0,0.0,0.0
3.22,1.0,75.3,0,84.51,578.0,High School/GED/Some College,Pass,1.0,1.0,0.0,0.0,0.0
3.29,2.0,77.3,0,60.0,591.0,High School/GED/Some College,Fail,0.0,1.0,0.0,0.0,0.0
3.38,2.0,72.7,0,80.33,600.0,Associates,Pass,1.0,0.0,1.0,0.0,0.0
3.2,1.0,74.0,0,66.49,466.0,High School/GED/Some College,Pass,1.0,1.0,0.0,0.0,0.0
2.95,2.0,68.7,0,52.34,466.0,High School/GED/Some College,Pass,1.0,1.0,0.0,0.0,0.0
2.84,2.0,72.7,0,40.52,704.0,High School/GED/Some College,Pass,1.0,1.0,0.0,0.0,0.0
2.78,2.0,74.0,0,369.0,465.0,High School/GED/Some College,Fail,0.0,1.0,0.0,0.0,0.0
2.79,3.0,74.0,0,116.0,591.0,High School/GED/Some College,Fail,0.0,1.0,0.0,0.0,0.0
2.81,1.0,68.7,0,83.0,593.0,High School/GED/Some College,Pass,1.0,1.0,0.0,0.0,0.0
2.71,5.0,66.0,0,80.33,711.0,High School/GED/Some College,Pass,1.0,1.0,0.0,0.0,0.0
2.6,2.0,68.7,0,87.0,592.0,High School/GED/Some College,Pass,1.0,1.0,0.0,0.0,0.0
2.67,1.0,51.8,0,257.59,592.0,High School/GED/Some College,Pass,1.0,1.0,0.0,0.0,0.0
3.27,2.0,68.7,1,124.58,578.0,Associates,Fail,0.0,0.0,1.0,0.0,0.0
2.76,2.0,73.3,0,158.0,460.0,High School/GED/Some College,Fail,0.0,1.0,0.0,0.0,0.0
2.63,1.0,75.3,1,106.33,591.0,High School/GED/Some College,Fail,0.0,1.0,0.0,0.0,0.0
3.26,1.0,75.3,3,122.0,1326.0,High School/GED/Some College,Pass,1.0,1.0,0.0,0.0,0.0
